lender,product_type,isautoleadcreated,major_index,major_stage,Leads,Conv. %
NACL,Renewal,Flow1(Auto),9,BRE2 completed,551,65.13
SHRIRAM,Fresh,Flow2(Manual),12,Mandate done,551,91.83
SHRIRAM,Fresh,Flow2(Manual),13,Application submitted by user,547,99.27
NACL,Renewal,Flow1(Auto),10,Disbursal acc verified,547,99.27
UCL,MicroML,Flow1(Auto),11,Review submit,537,86.33
FULLERTON,Renewal,Flow2(Manual),15,Disbursed,536,90.54
NACL,Fresh,Flow1(Auto),10,Disbursal acc verified,533,96.56
UCL,MicroML,Flow2(Manual),9,BRE2 completed,526,90.69
PYFL,Renewal,Flow1(Auto),12,Mandate done,515,91.64
NACL,Renewal,Flow1(Auto),11,Review submit,513,93.78
PIRAMAL,Fresh,Flow2(Manual),12,Mandate done,511,88.41
PIRAMAL,Fresh,Flow2(Manual),13,Application submitted by user,511,100.00
PYFL,Renewal,Flow2(Manual),6,Child_Lead_Created,501,
NACL,Renewal,Flow1(Auto),12,Mandate done,495,96.49
UCL,MicroML,Flow2(Manual),10,Disbursal acc verified,492,93.54
MFL,Fresh,Flow1(Auto),8,KYC completed,487,73.34
PIRAMAL,Renewal,Flow1(Auto),8,KYC completed,487,72.36
NACL,Fresh,Flow1(Auto),11,Review submit,478,89.68
NACL,Fresh,Flow2(Manual),8,KYC completed,477,75.47
NACL,Renewal,Flow1(Auto),13,Application submitted by user,472,95.35
PIRAMAL,Fresh,Flow1(Auto),14,Submit to LMS,460,79.86
SHRIRAM,Fresh,Flow2(Manual),14,Submit to LMS,460,84.10
MFL,Renewal,Flow1(Auto),8,KYC completed,452,81.88
PYFL,Fresh,Flow1(Auto),9,BRE2 completed,449,55.57
PIRAMAL,Fresh,Flow2(Manual),14,Submit to LMS,446,87.28
PYFL,Fresh,Flow1(Auto),10,Disbursal acc verified,443,98.66
NACL,Fresh,Flow1(Auto),12,Mandate done,440,92.05
KSF,Renewal,Flow1(Auto),9,BRE2 completed,436,44.17
SHRIRAM,Renewal,Flow1(Auto),8,KYC completed,435,61.61
UCL,MicroML,Flow1(Auto),12,Mandate done,432,80.45
NACL,Renewal,Flow2(Manual),6,Child_Lead_Created,429,
PYFL,Renewal,Flow2(Manual),7,Selfie uploaded,427,85.23
KSF,Renewal,Flow1(Auto),10,Disbursal acc verified,425,97.48
NACL,Fresh,Flow1(Auto),13,Application submitted by user,425,96.59
KSF,Fresh,Flow2(Manual),14,Submit to LMS,415,72.30
PIRAMAL,Fresh,Flow1(Auto),15,Disbursed,414,90.00
KSF,Fresh,Flow1(Auto),14,Submit to LMS,413,73.10
PIRAMAL,Fresh,Flow2(Manual),15,Disbursed,408,91.48
KSF,Renewal,Flow2(Manual),8,KYC completed,407,72.55
PYFL,Fresh,Flow1(Auto),11,Review submit,402,90.74
PYFL,Fresh,Flow1(Auto),13,Application submitted by user,402,120.36
KSF,Renewal,Flow1(Auto),11,Review submit,399,93.88
PYFL,Fresh,Flow2(Manual),9,BRE2 completed,397,69.53
SHRIRAM,Renewal,Flow1(Auto),9,BRE2 completed,394,90.57
PYFL,Renewal,Flow2(Manual),8,KYC completed,392,91.80
PYFL,Fresh,Flow2(Manual),10,Disbursal acc verified,390,98.24
NACL,Renewal,Flow2(Manual),7,Selfie uploaded,389,90.68
UCL,MicroML,Flow2(Manual),11,Review submit,388,78.86
SHRIRAM,Renewal,Flow1(Auto),10,Disbursal acc verified,385,97.72
NACL,Fresh,Flow2(Manual),9,BRE2 completed,379,79.45
NACL,Fresh,Flow2(Manual),10,Disbursal acc verified,374,98.68
UCL,MicroML,Flow1(Auto),13,Application submitted by user,371,85.88
KSF,Renewal,Flow1(Auto),12,Mandate done,370,92.73
KSF,Fresh,Flow2(Manual),15,Disbursed,365,87.95
KSF,Renewal,Flow1(Auto),13,Application submitted by user,362,97.84
PYFL,Fresh,Flow2(Manual),13,Application submitted by user,362,125.26
PYFL,Fresh,Flow2(Manual),11,Review submit,362,92.82
UCL,MicroML,Flow1(Auto),14,Submit to LMS,355,95.69
SHRIRAM,Renewal,Flow1(Auto),11,Review submit,354,91.95
PYFL,Renewal,Flow1(Auto),14,Submit to LMS,353,62.81
UCL,MicroML,Flow1(Auto),15,Disbursed,347,97.75
SHRIRAM,Renewal,Flow1(Auto),12,Mandate done,345,97.46
SHRIRAM,Renewal,Flow1(Auto),13,Application submitted by user,345,100.00
NACL,Fresh,Flow2(Manual),11,Review submit,345,92.25
NACL,Renewal,Flow2(Manual),8,KYC completed,344,88.43
MFL,Fresh,Flow2(Manual),6,Child_Lead_Created,343,
SHRIRAM,Fresh,Flow2(Manual),15,Disbursed,342,74.35
KSF,Fresh,Flow1(Auto),15,Disbursed,342,82.81
MFL,Fresh,Flow1(Auto),9,BRE2 completed,341,70.02
PYFL,Renewal,Flow1(Auto),15,Disbursed,340,96.32
MFL,Fresh,Flow1(Auto),10,Disbursal acc verified,339,99.41
PYFL,Fresh,Flow1(Auto),12,Mandate done,334,83.08
NACL,Renewal,Flow1(Auto),14,Submit to LMS,331,70.13
MFL,Fresh,Flow1(Auto),11,Review submit,327,96.46
NACL,Fresh,Flow1(Auto),14,Submit to LMS,307,72.24
NACL,Renewal,Flow1(Auto),15,Disbursed,304,91.84
MFL,Fresh,Flow1(Auto),12,Mandate done,304,92.97
NACL,Fresh,Flow2(Manual),12,Mandate done,298,86.38
KSF,Renewal,Flow1(Auto),14,Submit to LMS,297,82.04
MFL,Fresh,Flow2(Manual),7,Selfie uploaded,296,86.30
SHRIRAM,Renewal,Flow2(Manual),6,Child_Lead_Created,292,
MFL,Renewal,Flow1(Auto),9,BRE2 completed,291,64.38
MFL,Renewal,Flow1(Auto),10,Disbursal acc verified,290,99.66
PYFL,Renewal,Flow2(Manual),9,BRE2 completed,290,73.98
NACL,Fresh,Flow2(Manual),13,Application submitted by user,290,97.32
PYFL,Fresh,Flow2(Manual),12,Mandate done,289,79.83
MFL,Fresh,Flow1(Auto),13,Application submitted by user,287,94.41
UCL,MicroML,Flow2(Manual),12,Mandate done,287,73.97
NACL,Fresh,Flow1(Auto),15,Disbursed,286,93.16
MFL,Renewal,Flow1(Auto),11,Review submit,282,97.24
PYFL,Renewal,Flow2(Manual),10,Disbursal acc verified,280,96.55
PIRAMAL,Renewal,Flow2(Manual),6,Child_Lead_Created,279,
SHRIRAM,Renewal,Flow2(Manual),7,Selfie uploaded,272,93.15
MFL,Renewal,Flow1(Auto),12,Mandate done,264,93.62
PIRAMAL,Renewal,Flow2(Manual),7,Selfie uploaded,263,94.27
