lender,month_start,product_type,isautoleadcreated,major_index,original_major_stage,sub_stage,Leads,Stuck%
KSF,2.LMTD,Fresh,Flow1(Auto),13.0,Application submitted by user,,1420,
UCL,1.MTD,MicroML,Flow1(Auto),7.0,Selfie uploaded,,1375,
PIRAMAL,1.MTD,Fresh,Flow1(Auto),8.0,KYC completed,,1364,
FULLERTON,1.MTD,Renewal,Flow1(Auto),8.1,KYC completed,BRE2_FAILURE,1352,39.3
SHRIRAM,1.MTD,Fresh,Flow2(Manual),6.0,Child_Lead_Created,,1341,
SHRIRAM,1.MTD,Fresh,Flow2(Manual),2.0,Workable leads,,1341,
SHRIRAM,1.MTD,Fresh,Flow1(Auto),9.0,BRE2 completed,,1335,
PYFL,2.LMTD,Fresh,Flow2(Manual),6.0,Child_Lead_Created,,1326,
FULLERTON,2.LMTD,Fresh,Flow1(Auto),6.1,Child_Lead_Created,KYC_IN_PROGRESS,1320,20.4
KSF,1.MTD,Fresh,Flow1(Auto),8.0,KYC completed,,1316,
SHRIRAM,1.MTD,Fresh,Flow1(Auto),10.0,Disbursal acc verified,,1315,
KSF,1.MTD,Renewal,Flow1(Auto),7.0,Selfie uploaded,,1297,
KSF,2.LMTD,Fresh,Flow2(Manual),14.0,Submit to LMS,,1281,
FULLERTON,2.LMTD,Fresh,Flow1(Auto),8.1,KYC completed,BRE2_FAILURE,1278,30.1
PYFL,2.LMTD,Fresh,Flow1(Auto),7.0,Selfie uploaded,,1277,
NACL,1.MTD,Fresh,Flow1(Auto),6.0,Child_Lead_Created,,1240,
NACL,1.MTD,Fresh,Flow1(Auto),2.0,Workable leads,,1240,
SHRIRAM,1.MTD,Fresh,Flow2(Manual),7.0,Selfie uploaded,,1236,
SHRIRAM,1.MTD,Fresh,Flow2(Manual),4.0,BRE1 completed,,1236,
PYFL,2.LMTD,Fresh,Flow1(Auto),8.0,KYC completed,,1226,
PIRAMAL,2.LMTD,Fresh,Flow2(Manual),8.0,KYC completed,,1226,
KSF,2.LMTD,Fresh,Flow2(Manual),15.0,Disbursed,,1160,
FULLERTON,1.MTD,Fresh,Flow2(Manual),8.1,KYC completed,BRE2_FAILURE,1156,21.0
PYFL,1.MTD,Fresh,Flow1(Auto),6.0,Child_Lead_Created,,1143,
KSF,2.LMTD,Fresh,Flow1(Auto),14.0,Submit to LMS,,1142,
PYFL,2.LMTD,Fresh,Flow2(Manual),7.0,Selfie uploaded,,1123,
FULLERTON,1.MTD,Fresh,Flow1(Auto),7.1,Selfie uploaded,KYC_FAILED,1122,12.3
SHRIRAM,1.MTD,Fresh,Flow1(Auto),11.0,Review submit,,1104,
